ts,agent_id,throttle,steer,brake,cvip,cvip_x,cvip_y,cvip_z,x,y,z,v,duration_game,duration_system,route_length,score_composed,score_penalty,score_route,status,scenario
538507,0,0.3049029111862182,0.0033964752219617,0.0,45.73758343499088,192.94895935058597,64.66778564453125,0.0018142699263989,193.5124969482422,18.93368530273437,0.033904381096363,9.262220756596246,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538508,0,0.4026983678340912,0.0026939788367599,0.0,45.84034686285259,192.94509887695312,65.00201416015625,0.0018123625777661,193.5093688964844,19.165151596069336,0.0339080430567264,9.258781329522677,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538509,0,0.4115044474601745,0.0016691189957782,0.0,45.9433632032021,192.94122314453125,65.33641052246094,0.0018118667649105,193.50616455078125,19.39653205871582,0.0339111685752868,9.255340179581967,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538510,0,0.400812953710556,0.00089680950623,0.0,46.04652012088619,192.93736267089844,65.67086029052734,0.0018128204392269,193.5029296875,19.627824783325195,0.0339138396084308,9.251902813112608,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538511,0,0.3433497548103332,0.0012234647292643,0.0,46.14969974564785,192.93348693847656,66.0052490234375,0.0018152999691665,193.49966430664065,19.859033584594727,0.0339162833988666,9.248467252603934,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538512,0,0.3680302500724792,0.0009865454630926,0.0,46.2524424358705,192.92962646484372,66.33943939208984,0.001819534227252,193.49639892578125,20.09048080444336,0.0339103303849697,9.270479507426922,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538513,0,0.3353543579578399,0.0009233931777998,0.0,46.35383309972993,192.92575073242188,66.6733169555664,0.0018248367123305,193.49313354492188,20.322967529296875,0.0338848493993282,9.3086419559262,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538514,0,0.3770585060119629,0.000630029477179,0.0,46.45401176063012,192.92189025878903,67.00679779052734,0.0018310165032744,193.48980712890625,20.5562686920166,0.0338552854955196,9.33926577566639,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538515,0,0.3313461542129516,0.0005226603243499,0.0,46.55307281100863,192.91802978515625,67.33980560302734,0.0018377304077148,193.48648071289065,20.79021453857422,0.0338286980986595,9.36366726185199,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538516,0,0.2986230850219726,0.000178586677066,0.0,46.65116101429302,192.9141540527344,67.6723403930664,0.0018443679437041,193.48312377929688,21.024660110473636,0.0338081717491149,9.382605018205387,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538517,0,0.2546875774860382,0.0005442109541036,0.0,46.74839461802301,192.9102935791016,68.00440979003906,0.0018503570463508,193.47976684570312,21.25949478149414,0.0337941348552703,9.39726715663766,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538518,0,0.2559105157852173,0.0001776688732206,0.0,46.844962621970495,192.9064178466797,68.33609008789062,0.0018551634857431,193.4763946533203,21.494606018066406,0.0337868109345436,9.4076047850957,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538519,0,0.2210821360349655,0.0010421032784506,0.0,46.94103974690029,192.902587890625,68.6674575805664,0.0018583297496661,193.47300720214844,21.729894638061523,0.0337855517864227,9.413727434449568,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538520,0,0.0941605493426323,0.0009457648848183,0.0,47.03683843559699,192.8987579345703,68.99861907958984,0.0018598174210637,193.46961975097656,21.965255737304688,0.0337896719574928,9.415827515406766,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538521,0,0.2023054361343383,0.0003659615467768,0.0,47.13253150315912,192.8949432373047,69.32965850830078,0.0018598556052893,193.4661865234375,22.20059967041016,0.0337982177734375,9.414453706764316,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538522,0,0.2598471641540527,-0.0022401185706257,0.0,47.22829343121444,192.89111328125,69.66065979003906,0.0018586348742246,193.46275329589844,22.435836791992188,0.0338105000555515,9.409181215525363,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538523,0,0.2850018441677093,-0.0002851774625014,0.0,47.32430485034127,192.8872833251953,69.99169158935547,0.0018563460325822,193.45928955078125,22.670854568481445,0.0338264852762222,9.39963984853948,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538524,0,0.2642560601234436,0.0007095001055859,0.0,47.420681851139705,192.88345336914065,70.32280731201172,0.0018533325055614,193.4559326171875,22.90559196472168,0.0338446795940399,9.38826638272502,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538525,0,0.271738588809967,0.0005541702266782,0.0,47.51749026009272,192.87962341308597,70.65406036376953,0.0018498229328542,193.45260620117188,23.14003562927246,0.0338634476065635,9.376253859432303,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538526,0,0.2416262775659561,0.0008302678470499,0.0,47.61478827994346,192.8757781982422,70.9854965209961,0.0018458556151017,193.44921875,23.37417221069336,0.0338817201554775,9.363883369451948,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538527,0,0.1929264813661575,0.0015348872402682,0.0,47.71262832460921,192.8719024658203,71.31715393066406,0.001841697609052,193.44583129882807,23.607988357543945,0.0338987335562706,9.351011499205969,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
538528,0,0.1642758995294571,0.0013085077516734,0.0,47.81106269497253,192.8680419921875,71.64907836914062,0.0018374633509665,193.44239807128903,23.841476440429688,0.033914603292942,9.337679624635832,19.07500028423965,52.68937635421753,131.56012567009267,100.0,1.0,100.0,Completed,haze-sunset
